,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
dtype,int64,int64,object,float64,int64,object,object,object,object,object,object,object,object,object,object,object,object,int64,int64,int64,int64,object,object,object,object,object,float64,object,object,object,object,object,object,object,int64,object,int64,int64,int64,object,object,object,object,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,object,int64,object,int64,object,object,float64,object,int64,int64,object,object,object,int64,int64,int64,int64,int64,int64,object,object,object,int64,int64,int64,object,object,int64
count,1460.0,1460.0,1460,1201.0,1460.0,1460,91,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460.0,1460.0,1460.0,1460.0,1460,1460,1460,1460,1452,1452.0,1460,1460,1460,1423,1423,1422,1423,1460.0,1422,1460.0,1460.0,1460.0,1460,1460,1460,1459,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460,1460.0,1460,1460.0,770,1379,1379.0,1379,1460.0,1460.0,1379,1379,1460,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,7,281,54,1460.0,1460.0,1460.0,1460,1460,1460.0
unique,,,5,,,2,2,4,4,2,5,3,25,9,8,5,8,,,,,6,8,15,16,4,,4,5,6,4,4,4,6,,6,,,,6,5,2,5,,,,,,,,,,,4,,7,,5,6,,3,,,5,5,3,,,,,,,3,4,4,,,,9,6,
top,,,RL,,,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,,,,,Gable,CompShg,VinylSd,VinylSd,None,,TA,TA,PConc,TA,TA,No,Unf,,Unf,,,,GasA,Ex,Y,SBrkr,,,,,,,,,,,TA,,Typ,,Gd,Attchd,,Unf,,,TA,TA,Y,,,,,,,Gd,MnPrv,Shed,,,,WD,Normal,
freq,,,1151,,,1454,50,925,1311,1459,1052,1382,225,1260,1445,1220,726,,,,,1141,1434,515,504,864,,906,1282,647,649,1311,953,430,,1256,,,,1428,741,1365,1334,,,,,,,,,,,735,,1360,,380,870,,605,,,1311,1326,1340,,,,,,,3,157,49,,,,1267,1198,
mean,730.5,56.897260273972606,,70.04995836802665,10516.828082191782,,,,,,,,,,,,,6.0993150684931505,5.575342465753424,1971.267808219178,1984.8657534246574,,,,,,103.68526170798899,,,,,,,,443.6397260273973,,46.54931506849315,567.2404109589041,1057.4294520547944,,,,,1162.626712328767,346.99246575342465,5.844520547945206,1515.463698630137,0.42534246575342466,0.057534246575342465,1.5650684931506849,0.38287671232876713,2.8664383561643834,1.0465753424657533,,6.517808219178082,,0.613013698630137,,,1978.5061638868744,,1.7671232876712328,472.9801369863014,,,,94.2445205479452,46.66027397260274,21.954109589041096,3.4095890410958902,15.060958904109588,2.758904109589041,,,,43.489041095890414,6.321917808219178,2007.8157534246575,,,180921.19589041095
std,421.6100093688479,42.30057099381035,,24.284751774483183,9981.264932379147,,,,,,,,,,,,,1.3829965467415923,1.1127993367127367,30.202904042525265,20.645406807709396,,,,,,181.06620658721818,,,,,,,,456.09809084092456,,161.31927280654057,441.8669552924342,438.7053244594705,,,,,386.5877380410738,436.5284358862591,48.623081433519125,525.4803834232027,0.5189106060897992,0.23875264627920764,0.5509158012954318,0.5028853810928973,0.8157780441442212,0.22033819838402977,,1.625393290584064,,0.6446663863122344,,,24.689724768590214,,0.7473150101111116,213.80484145338076,,,,125.33879435172359,66.25602767664974,61.11914860172879,29.317330556782203,55.757415281874486,40.17730694453043,,,,496.1230244579311,2.7036262083595197,1.328095120552104,,,79442.50288288663
min,1.0,20.0,,21.0,1300.0,,,,,,,,,,,,,1.0,1.0,1872.0,1950.0,,,,,,0.0,,,,,,,,0.0,,0.0,0.0,0.0,,,,,334.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,1900.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,2006.0,,,34900.0
25%,365.75,20.0,,59.0,7553.5,,,,,,,,,,,,,5.0,5.0,1954.0,1967.0,,,,,,0.0,,,,,,,,0.0,,0.0,223.0,795.75,,,,,882.0,0.0,0.0,1129.5,0.0,0.0,1.0,0.0,2.0,1.0,,5.0,,0.0,,,1961.0,,1.0,334.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2007.0,,,129975.0
50%,730.5,50.0,,69.0,9478.5,,,,,,,,,,,,,6.0,5.0,1973.0,1994.0,,,,,,0.0,,,,,,,,383.5,,0.0,477.5,991.5,,,,,1087.0,0.0,0.0,1464.0,0.0,0.0,2.0,0.0,3.0,1.0,,6.0,,1.0,,,1980.0,,2.0,480.0,,,,0.0,25.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2008.0,,,163000.0
